Tweet,Sentimen
"@ceritanadia Gakan selesai"" gamau vaksin katanya tkt die :(((",Negatif
btw kan bekas vaksin kmrin gue kompres pake air anget.. kok jd sakit yh,Negatif
"Mengapa @detikcom tidak meralat beritanya tentang harga vaksin di India lebih murah dari Indonesia, pdhl faktanya tidak. Ini bisa digunakan sbg framing oleh oposan anti pemerintah dan membuat narasi bhw vaksin di Indonesia sangat mahal. https://t.co/tmrWIZz2w4",Positif
"Salam maranatha &amp; salam damai sejahtera bt kita semuanya,ingatlah selalu prokes 5M,rajin olah raga,be happy,positive thinking,jaga pola hidup yg benar,jgn lupa utk vaksin,hidup sesuai kemampuan,ttp semangat,immanuel,Jb us 👍👏👏💪💪💪🙏🙏🙏🙋🍵🍍🍅 https://t.co/KaRTexNoU0",Positif
"@semilith yey pagi, jangan lupa pake masker pas vaksin !!",Positif
"VIRAL TERPOPULER 8,7 Juta Pekerja akan Dapat Subsidi Rp1 Juta - Target Percepatan Vaksin Dosis Kedua
 
https://t.co/5I2QLlLRKN via @tribunjatim",Positif
"RT @FirzaHusainID: Tuh kan, makanya jangan menghina2 Sinovac 🤭🤭😊

Komite Keamanan Badan Obat Eropa sedang menyelidiki efek samping yang dit…",Netral
"@diru_saputra Ahahahahahahha di salah satu perusahaan BUMN aja klo ngk vaksin di SP3 lgsg,krn mrk tau byk rakyat ngk percaya ama pemerintah akhirnya dgn cara ngancam begitu lah.",Netral
@AdamPrabata Dok ibu saya sudah vaksin sinovac lalu aturan haji harus pake astra ibu berencana vaksin lagi apa itu di perbolehkan dok 🙏,Netral
@hanimundong Aku malah belom vaksin sekali mb hanimunn wkwlw,Netral
"RT @mypassion102: @miesatno2 @TSMusaHassan Yes betul, rakyat Malaysia dipenuhi dengan kaki kuat complaint, tak tahu nak bersyukur, bila ada…",Positif
Daftar vaksin udah kek war tiket konser🥲,Netral
"@gunawan_inside @Aryntaaaa @KemenkesRI Alangkah baiknya menahan diri, tak usah cerita ke org lain kalau Alhamdulillah tetep dpt jatah vaksin meskipun baru saja sembuh covid. Sensitif buat org blm dpt juga vaksin. 
Taun sendiri vaccination rate di indonesia masih rendah kan. 
Got the point?",Positif
"Seminggu bar vaksin, gek pisan jogging meneh gara2 raiso tangi gasek.

Apakah ini sugesti ? Apakah ini efek ? Apakah aku yg mulai keset ?",Positif
"@iyomgemoi Wkwkkw aku aja di vaksin sambil bayangin senyum renjun ,aku senyum senyum sendiri😫",Positif
"Pemerintah melalui Badan Pengawas Obat dan Makanan (BPOM) akan terus melakukan pengawasan dan pendampingan dalam pengujian dan pengkajian vaksin Covid-19. 

https://t.co/vHDYBaLyVx

@lawancovid19_id

#berita #news #terkini #Jatim #VaksinasiCovid19",Netral
"Sudah pake masker - sudah jaga jarak - sudah di vaksin - sudah PPKM berjilid-jilid...Tapi covid makin merajalela &amp; yg mati makin banyak... 
Itu herd immunity yg macam mana yg mau dicapai ❓ https://t.co/KzWKyQy82q",Positif
"# gue kira siapa yg meluk dari belakang pas bobok td😭 ternyata emak..... 
Dan
Disuru vaksin dosis ke2😀👍🏻",Netral
"Entohnyer. Masa kabor pfizer utk preggy mom xde pon dpt date appt. Bila da kabor jenis lain da boleh, xdpt jugek date appt. Last2 dapat lepas bersalin. Punyalahh lembab sistem vaksin nii 🙄🙄🙄 https://t.co/LzMaxq4Bvz",Netral
Vaksin kedua... 👍👍👍,Netral
"RT @RArrumie: @WngNgapak @IrutPagut Biar gaduh se RT, rumah yg ditempel stiker jadi label anti vaksin 😠",Netral
"RT @satbinmasmadina: Ayo kunjungi GERAI VAKSIN MERDEKA SUMATERA UTARA DALAM RANGKA HUT RI KE-76. 

Tahap pertama sudah bisa dilaksanakan va…",Positif
"@pedoqpop Boleh je pergi sendiri.. Kelentong je lah ckp nak gi umah member ke apa ke.. Vaksin ni bkn lah penyembuh tapi pertahanan untuk body kita.. Klo rasa nak bebas, nak rasa suasana sebelum Covid, pergilah vaksin.. Mana tau lepas semua dah vaksin.. Masih berpeluang rasa mcm dulu..",Positif
Kementerian Kesehatan telah mengalokasikan 5.102.300 dosis vaksin Moderna untuk vaksinasi Covid-19 di 34 provinsi. Untuk siapa saja? https://t.co/s4kQ5GVJ4P,Netral
@EajFirst Vaksin pertamakah Kak?,Netral
"KAPOLSEK KEBON JERUK MENDAPAT CENDRAMATAN DR GERAI VAKSIN MERDEKA TOYOTA CAB KEBON JERUK

@polisi_indonesia
@divisihumaspolri
@poldametrojaya
@humas.poldametrojaya
@polres_jakbar
@polsekkebonjeruk
#polisi_indonesia #divisihumaspolri #covid19 #vaksinasi #geraivaksin #vaksinmerdeka https://t.co/rpMEs5CZeN",Positif
kenapa kartu vaksin gue fotocopyan ya.. sekola gue jahat banget anjir.. kan mau yg bagus juga😓 https://t.co/YtwueyMc4g,Netral
"@diru_saputra Sebenarnya alasan ga mau vaksin apa sih..sampai dibela2in resign kerja pada kondisi seperti ini, apa bener2 sudah mengerti dan paham manfaat atau mudhorotnya vaksin, berfikir jernih dan banyakin literasinya, ambil sumber sebanyak2nya biar ga salah ambil keputusan",Positif
yuhuuu hari ini aku mau vaksin,Netral
Kalian pas abis vaksin apa yg dirasa?,Netral
"@ndzatul_ @dayahzaudin Uum boleh ye awak?Lg satu,klu dari sungai petani boleh ke walk in vaksin ke uum tu?ataupun.masih kena wat surat polis?",Netral
@bunnyehdud mau vaksin yaa?,Positif
@Is4b3ll4a @Dennysiregar7 @jokowi 1 lgi..vaksin nya komplit!!,Positif
"@gunawan_inside @Aryntaaaa @KemenkesRI Poinnya adalah, bukan boleh atau tidaknya
Justru bagus setelah covid tetep vaksin

Rkomendasi kemenkes dan papdi, kenapa didahulukan yg belum pernah terkonfirmasi covid 3bln sebelum adalah pemeratan vaksin. Yg baru sembuh dari covid, masih ada antibodi didalam badannya, yg belum?",Positif
@Mrzchnl samaaa itu pun vaksin di rumahh,Netral
"RT @RINDUNENEKK: #Jokowi404NotFound ini kalimat apa lagi😔 
.
.
Faldo BNI MOBILE BANKING 
Mo Salah 
Vaksin Tuntaskan Pandemi ngabalin https:…",Positif
Siapa yang hari ini vaksin D2 hari iniii?,Netral
"RT @vikaanasta__: Malem skandal, pagi vaksin, siang wortel bayam labu tomat kostum kyuubi, mari kita lihat nanti sore ada apa",Netral
Mau pp sby. Kehalang mamak mau vaksin. Pentingkan ortu dulu yaaaa~,Positif
@mariemfm bahkan menemukan yg jual kartu vaksin di story wa:'),Netral
"@fsapradana Mau tanya. Mau vaksin influlenza, harus ke dokter apa",Positif
"Ayo kunjungi GERAI VAKSIN MERDEKA SUMATERA UTARA DALAM RANGKA HUT RI KE-76. 

Tahap pertama sudah bisa dilaksanakan vaksinasi di Polres Madina mulai Hari ini Jum'at,  Sabtu,  Minggu dan Senin tgl 13, 14,15,16 Agustus 2021.

#Ayovaksincovid19 #vaksinamandanhalal https://t.co/xwX6h34HKU",Positif
"@tubirfess Orang"" tt kok tolol, ya. Yg habis kena covid aja udah pengen bngt vaksin, alias gue susah anjir ikut vaksin hrs nunggu 3 bulan lagi",Negatif
RT @RadioElshinta: Kemenkes Tegaskan Vaksin Moderna Hanya untuk Booster Nakes dan Publik yang Belum Pernah Menerima Vaksin COVID-19 @Kemenk…,Netral
BPOM Lakukan Pengawasan dan Pendampingan untuk Pastikan Keamanan dan Khasiat Vaksin https://t.co/HVxOb0nFnO,Netral
@jeanmarais_ Udah vaksin belum nihh?,Netral
@as_3nie Ooo bener to. Ak ya untung g melu vaksin onoh . Tp pas ditawari ak gamau ak dionek2e 🙃🙃,Netral
Pm tolonglah umum vaksin wajib untuk semua orang. Saman ke apa ke org yg taknak amik vaksin ni. Aku risau sbb dalam family ibu sorg je taknak amik. Dah la aku kerja kilang kayangan yg mmg org tau kes covid berlambak😌,Positif
"Kemenkes Tegaskan Vaksin Moderna Hanya untuk Booster Nakes dan Publik yang Belum Pernah Menerima Vaksin COVID-19 @KemenkesRI 

https://t.co/OIFB0wVE3k 
via @KemenkesRI
https://t.co/i3K8HB3KPM",Netral
"@hibooran Ya gpp lah yg penting vaksin. Sebelumnya gw juga gitu nunggu pfizer/moderna. Tp karena takutnya kelamaan dan susah cari dose 2 nya yaudah gw pilih AZ aja (Semoga ga kenapa"")",Positif
"RT @tawajkt: Pfizer tidak mewajibkan vaksin ke karyawannya sendiri.

Aneh. Apakah itu bagian dr HAM, atau ada hal lain di balik itu?

Repor…",Positif
"@Khairykj @DGHisham @JKJAVMY Jangan bukak sekolah dulu kalau x vaksin yb…. Budak2 kalau sakit lagi payah cite…. PDPR dulu, laptop pon dah instalment 12 bulan….. @RadziJidin",Positif
"@euisbeling13 Pgi nyai, cepat smbuh yahh, aku jg  bru enakan efek vaksin ke 3 yg sangat luar biasa mnguras tenaga hehehhe",Positif
"@PLindungi min, nama sama tgl lahirnya di sertifikat vaksin salah. solusinya gimana ini??????? udah nelfon 119 tiap hari gapernah diangkat",Negatif
Hari ini vaksin tahap 2🤸‍♀,Netral
"Haih pakcik, penatlah pakcik kami yang belajar tinggi2 ni, pakcik hdup lbih lama bkn bermaksud pakcik yang terpaling bnyk ilmu pengetahuan. Pi lah cucuk vaksin pstu gi masjid bergaul skit dgn org yang ada ilmu. Vaksin tak caya, sruh anak jdi engineer/doc percaya ada masa depan 🤦‍♂️ https://t.co/COeFItwstH",Negatif
"Masih agak nyeri lengan gara2 vaksin kemaren, gapapa demi turun bb kudu olahraga😌🔥 https://t.co/nqmwTccg2M",Negatif
"RT @antokarief: @hotradero Ternyata menejemen vaksin RI lebih canggih dari amerika ya. Sudah online, kta tinggal nunjukin QR code. Negera s…",Positif
@O97JJHJJ gue wktu vaksin ke 1 g ada apa apa cuma pas malem kerasa pegel aja tangannya wkwk,Negatif
@shhrfzn @iklil_shah vaksin mmg tak suka iklil la awak.,Netral
"Menyambut Dirgahayu Kemerdekaan Republik Indonesia ke-76, sebanyak 12 pelajar Papua yang tinggal di Yayasan Pondok Efrat Anggaswangi Sukodono, Sidoarjo, mendapatkan suntikan vaksinasi Covid-19 tahap pertama.

https://t.co/FUwYQHfXVa

#berita #terkini #Jatim #VaksinasiCovid19",Positif
@Rendra134R @e100ss @BpbdSidoarjo @pemkabsidoarjo2 Saya domisili darjo yg akhirnya dpt vaksin di probolinggo (kota asal) 😂,Netral
"RT @NenkMonica: Jika aturan ttg Pemberlakukan Kartu Vaksin utk masuk ke Mesjid dan Ibadah Jum'at dibagi menjadi 2 gelombang, sbg Umat Islam…",Netral
"KAPOLSEK KEBON JERUK LAKSANAKAN PENINJAUAN GERAI VAKSIN MERDEKA KEC. KEBON JERUK.

@polisi_indonesia
@divisihumaspolri
@poldametrojaya
@humas.poldametrojaya
@polres_jakbar
@polsekkebonjeruk
#polisi_indonesia #divisihumaspolri #vaksìncovid19 #vaksinasi #geraivaksin #vaksinmerdeka https://t.co/5awT4Tbx9Q",Netral
"astaghfirullah ini sakit bgt sksksksk why vaksin az lebih sakit :"")

Bnr"" cuma bisa rebahan 💔",Negatif
Harus menyertakan bukti vaksin. https://t.co/4UtKgxQ4lc,Netral
Antre vaksin samping2an lawan orang berokok..,Netral
"RT @MNCkoranSINDO: Mengenal Lagi Vaksin Merah Putih Buatan Indonesia

https://t.co/Mnb9eVEPyB",Positif
"Surabaya pagi ini.. ☀

Yuk olahraga yuk!! 

Oh iya yang belum vaksin segera vaksin ya, selain untuk menjaga kesehatan diri sendiri, dengan ikut vaksin kita sudah menjaga kesehatan dan keselamatan orang lain. 
Dan ingat!! 
Tetap patuhi Protokol kesehatan ya guys. 😉 https://t.co/yNO7dxYb3p",Netral
"RT @detikHealth: Kemenkes mengumumkan riset terbaru soal efektivitas vaksin Sinovac. Hasilnya, vaksin ini masih cukup efektif mencegah pera…",Positif
Kuat betul pengaruh social media ea sampai mak aku takut nk amik vaksin. Mmg syial sape hantau ii kat group ws dia. Korang taknk vaksin korang punya pasal lah takyah la pengaruh org lain anjinkkkkk!!!,Positif
"RT @susipudjiastuti: 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️
Mendag Sebut PCR-Antigen Jadi Syarat Masuk Mal Selain Kartu Vaksin https://t.co/T…",Netral
@O97JJHJJ vaksin yang ke brp nie? kalau yang pertama sih iya,Positif
yeee yeorobun selamat morning 🌄 marilah kita cucuk vaksin beramai ramai 🥱💉,Positif
"mooorninggg, skrg aku mau vaksin",Netral
"@nieke_aereta @jvdas_iskariot Melihat SDA dan mecermati falsafah,kragaman rakyat INA dr sabang-merauke sgt bangga.
Kinerja rzm saat ni byk kekeliruan bhkn seolah pembiaran dlm pnanganan covid19  tretment dihulunya yg tdk masif, terbukti saat ini msh byk yg acuh dg prokes pun  ketdkapercayaan thp vaksin,bhya! https://t.co/bNdJvS24Th",Netral
"RT @XXXbyefelicia: Orang asli sanggup pergi awal sehari nak pergi tidur rumah sedara yg dekat sikit dengan PPV bagai, kau yang ada akses mu…",Positif
RT @azxvfcjmnio: kalo habis vaksin emang pegel bgt gini ya?,Positif
"@Bintara_BA Saya kebagian Astra Zeneca mas, Vaksin kedua besok 19/8 di PKU Kota.. 

Alhamdulillah paska Vaksin pertama gak ada masalah dan keluhan apapun..",Negatif
"@MissNazira 😂 kaka terus tulis Maaf, jangan bg sy vaksin sebab sy dh jd antivax. So kinda delete my vaksin info. Jangan bg tarikh. Tolong jangan bg tarikh. Hahahahahaha gituu.. Reverse psychology mana tau dpt. Haha",Negatif
"RT @RRIPrograma3: Pihaknya mendukung pemerintah untuk masyarakat mau divaksin, agar menjadikan semuanya sehat. Pihak pengelola siap untuk m…",Positif
disini udah ada yang vaksin? efek nya apa? kok gua bawaan nya pengen makan mulu ya pas habis vaksin 😫,Positif
"@e100ss Drama Vaksin 2 puskesmas Buduran, pemumuman antri nomor Jam 6.00, tapi sudah habis sebelum jam 6. Menimbulkan kerumuman, satpam marah2. https://t.co/S3hXevKRYo",Negatif
"seneng sih si mbak baru nya bianca finally mau vaksin. jebul entuk e AZ, alamat beberapa hari izin ini mah 🤣",Positif
"mau vaksin, degdegan huhuu😭🙏",Netral
"RT @RagilSemar: Satu lagi bukti &amp; argumen bahwa vaksinasi tidak boleh dijadikan ALASAN UNTUK DISKRIMINASI warga.
Vaksin tidak membuat gak b…",Positif
"RT @syfqhmzlh: Mesti nda senang duduk geng geng anti-vaksin di sabah sekarang ni kan. Nda lengkap dua dos, naaa nda dpt masuk mana mana pre…",Positif
"seminggu kemarin kepala sakit ga berhenti, baru ilang pas h-1 vaksin. eh abis vaksin kemarin sakit kepala jd ilang muncul gini🙂",Netral
"happy weekend, aku mau vaksin 😻😻",Positif
"Harusnya hari ini vaksin kedua, tapi kenapa ga ada kejelasan gini ya 😩",Netral
Pasutri Penemu Vaksin Pfizer Siapkan Vaksin Baru Lawan Varian Delta https://t.co/ALthXuh6D1,Positif
@bdngfess Emang dimana aya vaksin bayar?,Netral
"@LiaIsti6 @ObasuGy 💐 
Industri Farmasi blm dan tdk akan membuat obat/ vaksin virus ngeyel. Sepertihalnya ibu Susi pd para penjarah lautan 🇮🇩,  siapapun itu ;
● T.e.n.g.g.e.l.a.m.k.a.n",Netral
"@HyeYanti Pengalaman saya sendiri, belum vaksin, terkena Covid, gejala2nya justru lebih berat (walau tidak parah sehingga sampai perlu oksigen/intubasi) dibanding orang serumah yg sudah vaksin (Sinovac). Saya isoman 14 hari di rumah plus obat antivirus, vitamin dan obat batuk/sakit kepala.",Positif
@nobi_zen eh itu kecamatan yak wkkwwk. Oke bang gas aja lanjutin ntar gua bantuin promosi jualan vaksin hahaha,Positif
"@PLindungi min mau nanya, saya sudah vaksin dosis pertama. Tp blm ada sertifikat karena nomor hp nya salah diinput oleh petugasnya. Jd gmn kalo mau dpt sertifikat?",Positif
lepas vaksin jap lagi nak makan ropis rangup nurin syafiqah #wishlist,Netral
@bdngfess Vaksin mah harusnya gratis ya....,Positif
sumpah gue takut bgt tiba tiba nana live di jam pagi pagi yg nggak terduga kek jam 9/10 gue mandi trs vaksin trs ketinggalan anjirt kek haaah ....,Negatif
"RT @shamiraawang: Yang kami nak dalam perutusan :
1. Langkah proaktif kekang wabak.
2. Lockdown PENUH
3. Apa yg kerajaan tngh plan selain d…",Positif
RT @detikcom: Pemerintah menyarankan warga tidak mencetak kartu vaksi karena rawan kebocoran dan penyalahgunaan data. Lalu apa kata pelaku…,Netral
"Mengenal Lagi Vaksin Merah Putih Buatan Indonesia

https://t.co/Mnb9eVEPyB",Netral
"Warga twitter kalau yg dah complete vaksin nak urut boleh direct whatsapp aku .. Sehari 3 org jer ...xmo byk2..skill urut x power nti😊

01110038128
* Equine Seri Kembangan https://t.co/xcS0Xw7kgY",Positif
"@Ujang17956930 @detikcom Seperti apa ribetnya, sharing sharing dong. Btw klo aku dr website https://t.co/yTAYoM8g0r, ada vaksin presisi polisi, ga ribet",Positif
@fajarak_ Soalnya hari ini sy jg vaksin tpi lagi desminore,Netral
@aewin86 Doain om....biar jadi anak sholeh. Rencana Minggu ini mau vaksin https://t.co/4qUuuRMWBR,Positif
RT @JKJAVMY: Dos kedua vaksin COVID-19 adalah amat penting untuk kita mendapat perlindungan maksimum. 💉💉 https://t.co/jm7IiM6RL9,Positif
@fulltimesinners Tugas vaksin sepatutnya tingkatkan paras antibody tp bila dah boleh buat maut ianya sesuatu yg x kena..apa pun boleh masuk ker media bukan arus perdana utk ketahui Adverse Events Following Immunisation(AEFI) https://t.co/mgA8LUGo1H,Negatif
Hari ini vaksin takutnya minta ampun. :(,Negatif
"@diru_saputra Gak di vaksin, gaji bulan depan gak cair..pertanggal 1 gak boleh masuk kerja..harus di vaksin dulu..😪..",Positif
"@cewenyaloki Semoga aja yahh bisa pindah

Wahh udh, gajadi vaksin lagi",Netral
Aku tengah ambil vaksin ni,Netral
"Gini bro/sis...
Loe mau vaksin or not, bebas... tapi kl perusahaan maksa loe, ya mmg ujungnya: ikut vaksin atau resign...
1. Cari pendapat yg dari ahlinya... jgn ambil pendapat yutubiyah wa medsosnesia.
2. Timbang yg teliti dan putuskan dgn mantap. You do the best for you....",Positif
RT @SPlandemic: @27Tantri Lawan kasih link ini https://t.co/zPh6BV0jPC,Positif
@Natacia_m naik pesawat harus vaksin d 2 kalo masih 1 harus pcr negatif 🤣 mau pulang aja biayanya bisa buat muter2 jogja seminggu paling haha,Positif
"morningg, ku hari ini vaksin kedua😁✌️",Netral
"RT @yuwonooktav: Ada kesempatan buat vaksin kok malah gak mau(?)
⠀
Look at those replies and quotes. 😭😭
Masih banyak antivaxx dgn dalih aga…",Positif
"RT @Adjoery1: Bahan2 ini jangan di cari di Mall yg syarat masuk nya pakai kartu vaksin ya,ini hnya tersedia di psr2 trdisional,dngan hrga t…",Positif
"RT @SPlandemic: Sial tuh RT emak gw dah 70 thn dipaksa faksin gw jejelin ginian kicep dia.
https://t.co/zPh6BV0jPC https://t.co/F8zHgg5Nll",Negatif
RT @WVGIF: Harapnya apa yang berlaku minggu ini akan menyuntik—pun intended—sedikit kesedaran kepada Rita Rudaini dan Lana Nodin tentang ke…,Netral
"Pagi-pagi udah cantik, rapi dan wangi. Eh, jadwal vaksin kedua diundur jadi hari Senin-Jum'at. KENAPA GA ADA PENGUMUMANNYA?! Untung tempatnya ga jauh dari rumah. Kasian ini orang lain juga yg pada datang langsung balik lagi.",Positif
"RT @tuanmudaedo: @txtdrimedia Jangan mimpi buat mobil dulu, sertifikat vaksin udah ada di aplikasi aja masih minta fotokopi dan kartu cetak…",Netral
ni abis vaksin ngape bb jadi naik sekilo si,Netral
"@PLindungi min, saya sudah call 119 terkait kesalahan data di sertifikat vaksin, tapi data msh blm terupdate. Saya sudah email sampai 3 kali, dgn memenuhi data yg diperlukan, selfie dgn ktp, dan data2 terkait vaksin, sampai sekarang belum direspon. Mohon bantuan utk follow upnya.",Netral
Selama disini gapernah sakit tapi sekalinya sakit karna vaksin moderna🥲,Negatif
Bntr lgi sy vaksin kdua😱😱,Netral
"@PLindungi Hallo kak.. selamat pagi. Boleh info, saya sudah vaksin dosis ke2. Sudah di sms sertifikat jg. Tp pas buka linknya ""mobile number not match"" keterangannya dan terinfo blm vaksin sama sekali. Itu gimana solusinya kak?",Positif
"RT @_fazilahsidik96: @pedoqpop Sekian. Diorang taip weksin, baksin supaya Instagram tak detect perkataan vaksin dan tak auto linked dengan…",Netral
"RT @dr_koko28: Rangorang di kota sebagian ramai bahas vaksin dan mol.

Rangorang di desa? Vaksinnya sebagian belum tiba. Molnya pun ga ada.",Netral
"@setankecil055 kemungkinan sih gak bisa vaksin ya soalnya tensi pasti tinggi, ganti hari aja kalo mau",Positif
"RT @FanaShahar: Sesiapa area Senawang yang berumur 18 tahun &amp; ke atas,sudah mendaftar vaksin di My Sejahtera, tapi belum dapat tarikh boleh…",Positif
"RT @__loveshak: Antivaksin cakap: “SARAWAK MAJORITY DAH VAKSIN TAPI KES TINGGI JUGAK BERIBU”.

Hello, dah vaksin memang la boleh kena covid…",Positif
@babylisarubi Sertifikat vaksin nya bisa download di app pedulilindungi 😂,Netral
"@RagilSemar Vaksin juga masih kena covid,hanya memperkaya oknum terkait aja..
Bikin aturan konyol dan semaunya aja..
Bangkeeee...",Negatif
"Ada kesempatan buat vaksin kok malah gak mau(?)
⠀
Look at those replies and quotes. 😭😭
Masih banyak antivaxx dgn dalih agama, aku bisa bayangin gimana hoax itu beredar bebas di grup chat mereka masing2.",Positif
@miisseraaaablee aku ter mlongo mlongo moco comment e. Nyapo sih wong wong gk gelem vaksin? 😭,Netral
@BanggaSurabaya @sehatsurabayaku @SapawargaSby @e100ss @Commandsurabaya @infosurabaya @satpolppsby Kalau untuk pelajar usia 12 tahun keatas kalau jadwal vaksin keduanya tanggal 16 Agustus 2021 lokasi vaksinnya dimana?krn dari sms cuma dikasih tahu RS Bhayangkara Surabaya.Sedangkan vaksin sinovac dosis pertama dilakukan di Polres Pelabuhan Tanjung Perak Surabaya tgl 19 Juli,Positif
@dksoulful Serem amat saa.sukses vaksin nya,Negatif
"Update asupan hari ke 5 setelah vaksin 1 :
Udah kembali agak normal si cuman masih tetep bnyak makan🥲
- nasi uduk
- nasi telor dadar crispy + sayur
- berry wild smoothies Joomba
- nasi bakar ayam + sate ceker + usus + kulit + tempe
Air putihh",Negatif
@lleedhyck Mau vaksin?,Netral
@asniiiii__ Asnii dah vaksin?,Netral
Vaksin done semua .... berarti sudah boleh ke bali dong.... Ah 5 menit saja ke bandara sampai.... cusss 🤣🤣,Netral
Bangun pagi buat antri daftar vaksin.. Ga taunya ga kebagian. Mata masih lengket ya tuhan,Netral
RT @azmanrocks: Berita baik hari ini: adik aku yang asalnya ragu-ragu dengan vaksin COVID-19 (tak mustahil pada suatu masa dia anti-vaksin)…,Positif
"RT @RagilSemar: Diskriminasi berdasarkan surat vaksin.
Apartheid gaya baru di DKI? 

Akhirnya, Penumpang Transjakarta Wajib Tunjukkan Bukti…",Positif
@diru_saputra Pernah gugling fungsinya vaksin? Jgn cm covid-19 ini ya. Fungsi vaksin secara umum,Positif
Tengah mikir baju apa nk pakai ni pergi vaksin😌,Netral
@detikcom Memang data kartu vaksin sdh bocor hrsnya pemerintah membuat aplikasi penditeksi kartu vaksin palsu,Negatif
"Itulah sebenarnya fungsi e-ktp, semua database bisa dinput &amp; tersimpan disana, jadi kalo mau nunjukin dah vaksin belom tinggal ditapping dialat scanner-nya. https://t.co/bBJeiGaINo",Netral
"@ryjnna Pagii, omg semangat vaksin!",Netral
@convomf vaksin dosis kedua,Netral
"Hari ini vaksin moderna liat tmn2 hbis vaksin pda demam, bengkak, mual, nyeri pda tepar smua. Smga kuat sehat ya Allah 😖",Positif
"@HRHJohorII Salam Tunku, mohon utk banyakkan pusat ppv di negeri Johor terutamanya kaw. luar bndr. Contoh di Benut ada 2 dewan serbaguna, boleh dijadikan 2 tmpt pemberian vaksin.",Netral
"@convomfs habis vaksin jgn langsung tidur meski ngantuk, ngefly, mlehoy. mandi dulu, bersih2 biar seger. baru istirahat, jan lupa makan, minum juga. eh berdoa dulu",Positif
"RT @AbdulAzizlatte: Saya tak akan memasuki Pusat Perbelanjaan yang mensyaratkan KARTU SERTIFIKAT VAKSIN. 

Yang sependirian boleh like.",Positif
"vaksin ke dua done semoga sehat"" selalu kita semuaa",Positif
Wajar gasi abis vaksin badan pada pegel😪,Positif
@zulfaaae Tp x pernah jumpa atau dengar lagi vaksin selain vaksin kobid ni yg sampai boleh menyebabkan maut..tu yg dilaporkan yg x dilaporkan kita pun xtau..Kadang2 terpikir vaksin jer kot xkan lah boleh jd maut...mcm ada yg x kena..hurmmm,Netral
"@convomfs Aamiin. Semoga lancar, habis vaksin jangan lupa istirahat ya",Positif
"Polda Metro Jaya Mulai Tempeli Stiker Rumah Warga Jakarta yang Belum Vaksin
 
https://t.co/O519RAh0rZ via @tribunnews",Netral
vaksin di gor udah kyk anak ilang mana pake kuning kuning berdua sama papa,Netral
@tianxiu_ookami Xia pas di vaksin berubah jdi titan,Positif
"Lambat nya nak dapat vaksin.
 Tidak layakkah aku.☹️",Negatif
"Suami daftar vaksin,fotoin lah tuh ktp. Eeeh langsung ngomong ""kok lengenku wes kemeng yo"" ya Allah mas mas 🤣🤣 jarum suntik aja takut lhoo 😆",Netral
@huang_renjuunn kenapa blm vaksin?,Netral
"@CommuterLine Ok terimakasih. Sekedar saran, di sistemnya sebaiknya ditambahkan tanggal vaksinasi pertama dan kedua serta vaksin apa yg telah dipakai saat vaksin pertama. Siapa tau ada juga yg seperti saya. Sudah vaksin pertama di tempat lain tapi belum vaksin kedua.",Positif
Sampe Skrg belom vaksin gegara males banget antrinya hadeh,Negatif
"RT @501Awani: Perunding Pediatrik &amp; Perubatan Hospital Pakar KPJ Damansara, @drmusanordin gariskan 5 perkara berkaitan vaksin #COVID19 yang…",Netral
"RT @Dr_ASinghR: Tahniah Labuan!

60.14% penduduk telah menerima 2dos vaksin lengkap
10 hari berturut-turut- 0 kematian!

Semua ini w'pun dg…",Positif
"Hbs subuh nangis pasca vaksin, penyebab nangis:
35% lengan sakit + mulai ga enak badan
65% kepikiran nanti ganti baju buat beli makan siang gmn? 😭 didiemin aja sakit apalagi dipake buat ganti baju ini lengan. 

Gini bgt jd anak kosan, 🥺",Negatif
"RT @mas_triadhianto: ‼️Pendapat Saya Tentang Fenomena CETAK KARTU VAKSIN‼️
Jasa ini ramai setelah diberlakukannya syarat untuk menunjukkan…",Netral
"RT @syahmiieee: You put 1 bangla in a PPV, semua orang takut. You put a bus of mat sallehs or Korean/Japanese amois karpet merah berbulu si…",Netral
"@wjoko568 Nggeh pak
Ini mw vaksin k2 💪🏾💪🏾💪🏾",Netral
"@februar_ry Atau, kalo mau ke pasar harus vaksin, juga terbukti efektif",Positif
"dah berangkat pagi2 buat dpt antrian vaksin di atlas, malah ga ada kata satpam nya
pdhl di pamflet sampe hari ini😏",Positif
"RT @KelianBanjar_GK: Sejumlah Peran DPR dalam penanganan Covid-19 : 
1.Dukung refucusing anggaran tangani pandemi 
2.Bentuk satgas lawan Co…",Netral
"Jerinx Tiba di Polda Metro Jaya, Tegaskan Tak Ada Jemput Paksa hingga Alasan Belum Vaksin
https://t.co/8GY0UUfhfi 

#BeritaSonora via @tribunnews",Positif
RT @KelianBanjar_GK: Peran DPR bukan hanya melakukan pengawasan terhadap masalah Pandemi Covid-19 tapi juga terus mensosialisasikan kepada…,Netral
@tianxiu_ookami km blum vaksin ya,Netral
@FWBESS Yg gue tau butuhnya strp sih tp kl tujuannya mau vaksin bawa aja,Netral
"RT @HausofHilton: Bukti vaksin berkesan!

Jom vaksin semua cepat",Positif
kalo habis vaksin emang pegel bgt gini ya?,Positif
